Symbol,Date,Expiry,Option Type,Strike Price,Stock Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2018,28-Mar-2018,CE,11050,10435.55,0,0,0,86.4,0,76.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11100,10435.55,66.7,81.05,56.5,58.05,58.8,58.05,54,452.28,2.73,11700,900
NIFTY,01-Jan-2018,28-Mar-2018,CE,11150,10435.55,0,0,0,64.9,0,57.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11200,10435.55,46,46.5,39,39.9,39,39.9,76,640.99,2.59,11100,5625
NIFTY,01-Jan-2018,28-Mar-2018,CE,11250,10435.55,0,0,0,48.15,0,42.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11300,10435.55,0,0,0,55.65,0,36.2,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11350,10435.55,0,0,0,35.15,0,30.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11400,10435.55,0,0,0,43.25,43.25,26.1,0,0,0,75,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11450,10435.55,0,0,0,25.25,0,22.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11500,10435.55,20,23,15.25,17.55,17.5,17.55,33,285.09,0.47,48300,825
NIFTY,01-Jan-2018,28-Mar-2018,CE,11550,10435.55,0,0,0,17.85,0,15.5,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11600,10435.55,0,0,0,34,0,12.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11650,10435.55,0,0,0,12.4,0,10.75,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11700,10435.55,0,0,0,35.1,35.1,8.9,0,0,0,150,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11750,10435.55,0,0,0,8.5,0,7.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11800,10435.55,0,0,0,21.7,0,6,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11850,10435.55,0,0,0,5.7,0,4.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11900,10435.55,0,0,0,22.65,22.65,4,0,0,0,150,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11950,10435.55,0,0,0,3.8,0,3.25,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12000,10435.55,7.05,7.05,6.15,6.15,6.15,6.15,2,18.01,0.01,38850,-75
NIFTY,01-Jan-2018,28-Mar-2018,CE,12050,10435.55,0,0,0,2.65,0,2.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12100,10435.55,0,0,0,16.35,0,1.7,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12200,10435.55,0,0,0,4.85,0,1.1,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12300,10435.55,0,0,0,5.25,0,0.7,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12400,10435.55,0,0,0,4.65,0,0.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12500,10435.55,1.55,1.55,0.7,0.85,0.8,0.85,102,956.31,0.06,104325,5175
NIFTY,01-Jan-2018,28-Mar-2018,CE,12600,10435.55,0,0,0,3.35,0,0.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12700,10435.55,0,0,0,2.4,0,0.1,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12800,10435.55,0,0,0,1.2,0,0.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12900,10435.55,0,0,0,0.85,0,0.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,6700,10435.55,3761,3761,3761,3761,3761,3761,1,7.85,2.82,49725,75
NIFTY,01-Jan-2018,28-Mar-2018,CE,6800,10435.55,0,0,0,2811.5,0,3738.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,6900,10435.55,0,0,0,2718.05,0,3639.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7000,10435.55,3485,3527,3460,3473.65,3469,3473.65,130,1023.94,341.44,197100,2850
NIFTY,01-Jan-2018,28-Mar-2018,CE,7100,10435.55,0,0,0,2531.25,0,3442.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7200,10435.55,0,0,0,2437.95,0,3344.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7300,10435.55,0,0,0,2344.8,0,3245.85,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7400,10435.55,0,0,0,2251.85,0,3147.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7500,10435.55,0,0,0,2990,2990,3048.85,0,0,0,1125,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7600,10435.55,0,0,0,2066.65,0,2950.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7700,10435.55,0,0,0,1974.65,0,2851.9,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7800,10435.55,0,0,0,1883.1,0,2753.4,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,7900,10435.55,0,0,0,1792.15,0,2654.9,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8000,10435.55,2532.25,2539.35,2461.85,2481.95,2494.35,2481.95,13,102.55,24.55,74850,225
NIFTY,01-Jan-2018,28-Mar-2018,CE,8100,10435.55,0,0,0,1612.7,0,2457.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8200,10435.55,0,0,0,1524.5,0,2359.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8300,10435.55,0,0,0,2230,2230,2260.95,0,0,0,3150,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8400,10435.55,0,0,0,1352.1,0,2162.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8500,10435.55,2030,2030,2030,2030,2030,2030,1,7.9,1.52,534675,-75
NIFTY,01-Jan-2018,28-Mar-2018,CE,8600,10435.55,0,0,0,1778,1778,1965.5,0,0,0,555450,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8700,10435.55,0,0,0,1643,1643,1867,0,0,0,587025,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8800,10435.55,0,0,0,1028.9,0,1768.55,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,8900,10435.55,0,0,0,953.8,0,1670.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9000,10435.55,1550,1550,1550,1550,1550,1550,1,7.91,1.16,16350,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9050,10435.55,0,0,0,1571.6,0,1522.6,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9100,10435.55,0,0,0,812.15,0,1473.5,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9150,10435.55,0,0,0,1473.4,0,1424.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9200,10435.55,0,0,0,745.2,0,1375.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9250,10435.55,0,0,0,1375.4,0,1326.55,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9300,10435.55,0,0,0,681.85,0,1277.75,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9350,10435.55,0,0,0,1277.7,0,1229.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9400,10435.55,0,0,0,621.8,0,1180.5,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9450,10435.55,0,0,0,1180.5,0,1132.2,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9500,10435.55,1077.6,1077.6,1077.6,1077.6,1077.6,1077.6,1,7.93,0.81,6675,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9550,10435.55,0,0,0,1084,0,1036.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9600,10435.55,0,0,0,511.75,0,988.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9650,10435.55,0,0,0,988.65,0,941.75,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9700,10435.55,0,0,0,900,900,895.1,0,0,0,4350,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9750,10435.55,0,0,0,894.9,0,849.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9800,10435.55,855,855,855,855,855,855,3,23.97,1.92,3300,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9850,10435.55,0,0,0,803.2,0,758.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9900,10435.55,0,0,0,739.1,735.25,714.85,0,0,0,1050,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,9950,10435.55,0,0,0,714.3,0,671.7,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10000,10435.55,665.8,685,640.3,640.3,640.3,640.3,134,1073.1,68.1,166050,-9750
NIFTY,01-Jan-2018,28-Mar-2018,CE,10050,10435.55,0,0,0,628.85,0,588.5,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10100,10435.55,591.45,591.45,591.45,591.45,591.45,591.45,2,16.04,0.89,1200,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10150,10435.55,0,0,0,547.6,0,509.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10200,10435.55,518.2,518.2,500,500,500,500,10,80.32,3.82,17475,75
NIFTY,01-Jan-2018,28-Mar-2018,CE,10250,10435.55,0,0,0,471.25,0,436.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10300,10435.55,446.95,454,432,432,432,432,6,48.36,2.01,31725,-150
NIFTY,01-Jan-2018,28-Mar-2018,CE,10350,10435.55,0,0,0,400.45,0,368.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10400,10435.55,382.7,382.7,349.7,349.8,349.7,349.8,12,96.9,3.3,8925,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10450,10435.55,0,0,0,335.85,0,307.6,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10500,10435.55,311.85,324,280.05,289.15,280.05,289.15,221,1791.72,51.34,303900,-4350
NIFTY,01-Jan-2018,28-Mar-2018,CE,10550,10435.55,0,0,0,277.85,0,253.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10600,10435.55,249.55,267,235,236.7,235,236.7,22,179.13,4.23,1500,525
NIFTY,01-Jan-2018,28-Mar-2018,CE,10650,10435.55,0,0,0,226.5,0,205.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10700,10435.55,209,215.05,179.75,183.2,179.75,183.2,73,596.61,10.78,52275,1725
NIFTY,01-Jan-2018,28-Mar-2018,CE,10750,10435.55,0,0,0,181.95,0,163.85,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10800,10435.55,163.4,168,144.4,144.8,144.4,144.8,44,361.82,5.42,4050,-750
NIFTY,01-Jan-2018,28-Mar-2018,CE,10850,10435.55,0,0,0,143.9,0,128.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,10900,10435.55,120.35,130.9,114.7,115.4,114.75,115.4,42,347.39,4.04,2475,-1275
NIFTY,01-Jan-2018,28-Mar-2018,CE,10950,10435.55,0,0,0,112.05,0,99.9,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11000,10435.55,101.9,101.95,78.95,81.7,80,81.7,661,5498.28,45.03,339825,24600
NIFTY,02-Jan-2018,28-Mar-2018,CE,6700,10442.2,0,0,0,3761,3761,3842.4,0,0,0,49725,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,6800,10442.2,0,0,0,2811.5,0,3743.9,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,6900,10442.2,0,0,0,2718.05,0,3645.4,0,0,0,0,0
NIFTY,02-Jan-2018,28-Mar-2018,CE,7000,10442.2,3475,3475,3410,3439.15,3430,3439.15,161,1259.13,413.88,198975,1875
NIFTY,02-Jan-2018,28-Mar-2018,CE,7100,10442.2,0,0,0,2531.25,0,3448.4,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11650,10910.1,0,0,0,154.1,0,157.45,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11700,10910.1,46.25,57.7,46,57.7,57.7,57.7,17,149.8,0.62,7650,75
NIFTY,01-Jan-2019,28-Mar-2019,CE,11750,10910.1,0,0,0,131.45,0,133.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11800,10910.1,42.95,43.95,26.25,35.05,26.25,35.05,4,35.52,0.12,300,150
NIFTY,01-Jan-2019,28-Mar-2019,CE,11850,10910.1,0,0,0,111.9,0,112,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11900,10910.1,31,31,31,31,31,31,2,17.9,0.05,150,150
NIFTY,01-Jan-2019,28-Mar-2019,CE,11950,10910.1,0,0,0,94.75,0,93.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12000,10910.1,23.85,24,20.1,23.75,23.65,23.75,754,6798.7,12.7,166650,19650
NIFTY,01-Jan-2019,28-Mar-2019,CE,12050,10910.1,0,0,0,79.9,0,77.7,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12100,10910.1,0,0,0,18.05,18.05,70.7,0,0,0,75,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12150,10910.1,0,0,0,67.05,0,64.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12200,10910.1,0,0,0,25.25,25.25,58.2,0,0,0,75,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12250,10910.1,0,0,0,55.95,0,52.7,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12300,10910.1,0,0,0,225.2,0,47.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12350,10910.1,0,0,0,49.4,0,43,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12400,10910.1,0,0,0,16.6,16.6,38.75,0,0,0,225,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12500,10910.1,8.5,8.5,8.5,8.5,8.5,8.5,1,9.38,0.01,8850,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12600,10910.1,0,0,0,198.75,0,25.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12700,10910.1,0,0,0,247.75,0,20.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12800,10910.1,0,0,0,207.95,0,16.1,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,12900,10910.1,0,0,0,17,17,12.7,0,0,0,600,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13000,10910.1,3.3,5,1.55,2,2.1,2,1357,13232.64,1.89,68475,56475
NIFTY,01-Jan-2019,28-Mar-2019,CE,13100,10910.1,0,0,0,80.35,0,7.85,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13200,10910.1,0,0,0,58.4,0,6.1,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13300,10910.1,0,0,0,42.5,0,4.75,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13400,10910.1,0,0,0,37.3,0,3.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13500,10910.1,1.05,1.25,1.05,1.25,1.25,1.25,22,222.77,0.02,3600,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13600,10910.1,0,0,0,16.65,0,2.15,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13700,10910.1,0,0,0,23.95,0,1.65,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13800,10910.1,0,0,0,19.2,0,1.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,13900,10910.1,0,0,0,19.85,0,0.95,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,14000,10910.1,0.95,1,0.85,1,0.85,1,68,714.05,0.05,255675,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,14100,10910.1,0,0,0,20.7,0,0.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7600,10910.1,0,0,0,3075,3075,3442.55,0,0,0,675,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7700,10910.1,0,0,0,2970.55,0,3344.3,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7800,10910.1,0,0,0,2879.65,0,3246,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,7900,10910.1,0,0,0,2789.15,0,3147.75,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8000,10910.1,2920,2963,2843,2952.75,2951.2,2952.75,437,3579.35,957.35,811425,-3225
NIFTY,01-Jan-2019,28-Mar-2019,CE,8100,10910.1,0,0,0,2609.7,0,2951.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8200,10910.1,0,0,0,2520.85,0,2853,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8300,10910.1,0,0,0,2432.65,0,2754.75,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8400,10910.1,0,0,0,2345.25,0,2656.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8500,10910.1,2463.95,2463.95,2449.15,2449.15,2449.15,2449.15,2,16.43,3.68,506775,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8600,10910.1,2380,2380,2380,2380,2380,2380,1,8.24,1.79,995775,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8700,10910.1,2280,2280,2242.3,2261.15,2242.3,2261.15,2,16.44,3.39,715350,75
NIFTY,01-Jan-2019,28-Mar-2019,CE,8800,10910.1,0,0,0,2005,0,2263.95,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,8900,10910.1,0,0,0,1922.75,0,2166.05,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9000,10910.1,0,0,0,1830,1830,2068.25,0,0,0,8325,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9100,10910.1,0,0,0,1762.2,0,1970.7,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9200,10910.1,0,0,0,1684.1,0,1873.4,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,9300,10910.1,0,0,0,1607.55,0,1776.55,0,0,0,0,0
